moteid year month day hour minute second time_seconds ambient_temp surface_temp rel_humidity rain_meter
19 2007 9 20 21 18 48 1190315928 4.38 2.1630000000000003 65.545 0.0
19 2007 9 20 21 20 48 1190316048 4.53 2.2880000000000003 64.542 0.0
19 2007 9 20 21 22 48 1190316168 4.36 2.35 65.596 0.0
19 2007 9 20 21 24 48 1190316288 4.14 1.85 66.844 0.0
19 2007 9 20 21 26 48 1190316408 4.1 1.913 66.99600000000001 0.0
19 2007 9 20 21 28 48 1190316528 3.86 1.85 68.96 0.0
19 2007 9 20 21 30 48 1190316648 4.06 1.975 67.042 0.0
19 2007 9 20 21 32 48 1190316768 4.08 1.85 66.726 0.0
19 2007 9 20 21 34 48 1190316888 3.85 1.788 68.354 0.0
19 2007 9 20 21 36 48 1190317008 3.74 1.725 67.99 0.0
19 2007 9 20 21 38 48 1190317128 3.83 1.85 67.0 0.0
19 2007 9 20 21 40 48 1190317248 4.01 1.85 65.748 0.0
19 2007 9 20 21 42 48 1190317368 3.82 1.725 66.945 0.0
19 2007 9 20 21 44 48 1190317488 4.11 1.913 64.196 0.0
19 2007 9 20 21 46 48 1190317608 4.24 1.913 63.836999999999996 0.0
19 2007 9 20 21 48 48 1190317728 4.21 1.788 64.214 0.0
19 2007 9 20 21 50 48 1190317848 4.07 2.0380000000000003 65.058 0.0
19 2007 9 20 21 52 48 1190317968 4.0 1.975 65.639 0.0
19 2007 9 20 21 54 48 1190318088 3.83 1.663 66.252 0.0
19 2007 9 20 21 56 48 1190318208 3.54 1.788 68.637 0.0
19 2007 9 20 21 58 48 1190318328 3.46 1.725 68.988 0.0
19 2007 9 20 22 0 47 1190318447 3.59 1.788 68.14699999999999 0.0
19 2007 9 20 22 2 48 1190318568 3.72 1.663 67.086 0.0
19 2007 9 20 22 4 48 1190318688 3.85 1.788 66.39 0.0
19 2007 9 20 22 6 48 1190318808 4.04 1.725 65.457 0.0
19 2007 9 20 22 8 48 1190318928 3.68 1.725 67.768 0.0
19 2007 9 20 22 10 47 1190319047 3.62 1.725 67.518 0.0
19 2007 9 20 22 12 47 1190319167 3.68 1.975 67.211 0.0
19 2007 9 20 22 14 48 1190319288 3.84 1.85 66.334 0.0
19 2007 9 20 22 16 48 1190319408 4.05 1.85 65.648 0.0
19 2007 9 20 22 18 48 1190319528 4.53 1.85 62.707 0.0
19 2007 9 20 22 20 48 1190319648 4.42 1.85 63.622 0.0
19 2007 9 20 22 22 48 1190319768 4.44 1.725 63.626000000000005 0.0
19 2007 9 20 22 24 48 1190319888 4.46 1.788 63.245 0.0
19 2007 9 20 22 26 48 1190320008 4.28 1.725 64.417 0.0
19 2007 9 20 22 28 48 1190320128 4.62 2.1 62.058 0.0
19 2007 9 20 22 30 48 1190320248 3.98 1.725 65.904 0.0
19 2007 9 20 22 32 48 1190320368 4.08 1.663 65.005 0.0
19 2007 9 20 22 34 48 1190320488 4.34 1.538 63.225 0.0
19 2007 9 20 22 36 48 1190320608 4.86 1.913 59.721000000000004 0.0
19 2007 9 20 22 38 48 1190320728 4.52 2.0380000000000003 61.736000000000004 0.0
19 2007 9 20 22 40 48 1190320848 5.03 2.0380000000000003 58.813 0.0
19 2007 9 20 22 42 48 1190320968 4.54 1.788 61.516999999999996 0.0
19 2007 9 20 22 44 48 1190321088 4.05 1.725 64.294 0.0
19 2007 9 20 22 46 48 1190321208 4.44 1.725 61.611999999999995 0.0
19 2007 9 20 22 48 48 1190321328 4.38 1.725 60.933 0.0
19 2007 9 20 22 50 48 1190321448 4.39 1.475 61.603 0.0
19 2007 9 20 22 52 48 1190321568 4.24 1.725 62.16 0.0
19 2007 9 20 22 54 48 1190321688 3.98 1.538 64.36399999999999 0.0
19 2007 9 20 22 56 48 1190321808 4.68 1.725 59.691 0.0
19 2007 9 20 22 58 48 1190321928 4.85 1.725 58.926 0.0
19 2007 9 20 23 0 48 1190322048 4.77 1.663 59.367 0.0
19 2007 9 20 23 2 48 1190322168 4.07 1.663 64.434 0.0
19 2007 9 20 23 4 48 1190322288 3.91 1.725 66.40100000000001 0.0
19 2007 9 20 23 6 48 1190322408 3.88 1.475 65.88600000000001 0.0
19 2007 9 20 23 8 48 1190322528 3.87 1.475 65.992 0.0
19 2007 9 20 23 10 48 1190322648 4.76 1.475 59.28 0.0
19 2007 9 20 23 12 48 1190322768 4.76 1.475 59.251999999999995 0.0
19 2007 9 20 23 14 48 1190322888 4.94 1.725 57.973 0.0
19 2007 9 20 23 16 48 1190323008 4.98 1.538 58.122 0.0
19 2007 9 20 23 18 48 1190323128 4.82 1.85 59.007 0.0
19 2007 9 20 23 20 48 1190323248 4.97 1.85 58.148999999999994 0.0
19 2007 9 20 23 22 48 1190323368 4.5 1.725 60.757 0.0
19 2007 9 20 23 24 48 1190323488 3.94 1.475 63.428999999999995 0.0
19 2007 9 20 23 26 48 1190323608 4.04 1.538 62.816 0.0
19 2007 9 20 23 28 48 1190323728 3.99 1.538 62.751999999999995 0.0
19 2007 9 20 23 30 48 1190323848 4.24 1.538 61.049 0.0
19 2007 9 20 23 32 48 1190323968 4.28 1.538 60.861000000000004 0.0
19 2007 9 20 23 34 48 1190324088 4.57 1.663 59.052 0.0
19 2007 9 20 23 36 48 1190324208 4.29 1.413 61.67 0.0
19 2007 9 20 23 38 48 1190324328 3.79 1.35 63.786 0.0
19 2007 9 20 23 40 48 1190324448 3.79 1.35 63.266999999999996 0.0
19 2007 9 20 23 42 48 1190324568 3.58 1.288 64.348 0.0
19 2007 9 20 23 44 48 1190324688 3.78 1.163 63.62 0.0
19 2007 9 20 23 46 48 1190324808 3.98 1.475 62.613 0.0
19 2007 9 20 23 48 48 1190324928 4.47 1.288 59.629 0.0
19 2007 9 20 23 50 48 1190325048 4.38 1.538 60.288999999999994 0.0
19 2007 9 20 23 52 48 1190325168 4.24 1.35 61.133 0.0
19 2007 9 20 23 54 48 1190325288 3.82 1.35 63.272 0.0
19 2007 9 20 23 56 48 1190325408 3.54 1.288 64.503 0.0
19 2007 9 20 23 58 48 1190325528 3.43 1.1 64.375 0.0
19 2007 9 21 0 0 48 1190325648 3.46 1.163 65.084 0.0
19 2007 9 21 0 2 48 1190325768 3.76 1.038 64.624 0.0
19 2007 9 21 0 4 48 1190325888 4.02 1.413 62.977 0.0
19 2007 9 21 0 6 48 1190326008 3.84 1.475 64.149 0.0
19 2007 9 21 0 8 48 1190326128 4.26 1.538 61.498000000000005 0.0
19 2007 9 21 0 10 48 1190326248 4.34 1.538 61.15 0.0
19 2007 9 21 0 12 48 1190326368 4.33 1.475 61.315 0.0
19 2007 9 21 0 14 48 1190326488 4.08 1.475 63.07 0.0
19 2007 9 21 0 16 48 1190326608 4.0 1.475 62.61600000000001 0.0
19 2007 9 21 0 18 48 1190326728 4.08 1.663 62.105 0.0
19 2007 9 21 0 20 48 1190326848 4.32 1.663 60.81100000000001 0.0
19 2007 9 21 0 22 48 1190326968 4.14 1.663 62.75 0.0
19 2007 9 21 0 24 48 1190327088 3.97 1.663 62.941 0.0
19 2007 9 21 0 26 47 1190327207 3.78 1.725 64.002 0.0
19 2007 9 21 0 28 47 1190327327 4.08 1.663 62.354 0.0
19 2007 9 21 0 30 47 1190327447 4.1 1.35 61.082 0.0
19 2007 9 21 0 32 47 1190327567 3.7 1.35 63.77 0.0
19 2007 9 21 0 34 47 1190327687 3.83 1.475 62.229 0.0
19 2007 9 21 0 36 47 1190327807 4.03 1.475 61.431999999999995 0.0
19 2007 9 21 0 38 47 1190327927 3.78 1.163 63.292 0.0
19 2007 9 21 0 40 47 1190328047 3.94 1.225 61.971000000000004 0.0
